timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
53248,117.68747449999998,96.4412436632999,21.246230896606832,0.0,-6.841300920243386,102.21334759541271
55296,117.61135420000001,96.70340919696824,20.907945032188913,0.0,-6.23355427188888,101.05268909623689
57344,117.49814950000003,95.79030069265941,21.70784864443049,0.0,-8.938670810234107,104.20185121586746
59392,117.8810051,97.11664698010819,20.764358196235033,0.0,-5.2364588225042725,100.06884058845993
61440,117.5613754,97.16343361847362,20.397941826167614,0.0,-5.510138191844499,98.49751751766411
63488,118.39733420000002,96.63436953448347,21.762964716648767,0.0,-6.750087013563457,99.12593916192856
65536,119.3011186,96.51510219182447,22.786016231497378,0.0,-6.648854162657611,103.2111614814972
67584,119.05284280000001,96.55202889473796,22.50081377765138,0.0,-6.288278579642167,101.30119545340376
69632,118.25939869999999,97.05050511826519,21.20889355299574,0.0,-5.3201206225503626,98.04568632667926
71680,118.42596480000002,96.387620189405,22.038344532477876,0.0,-6.274724334693864,100.20612858005775
73728,117.67181099999998,95.97899332478482,21.692817786652316,0.0,-7.726335683169468,100.66836634458473
75776,117.71659989999998,96.3820084319336,21.334591362065744,0.0,-6.6883105526238165,100.98123099043605
77824,117.93431210000001,96.49321683489906,21.441095157036898,0.0,-6.216609044583577,102.27342889312308
79872,117.35724950000001,96.70983311906998,20.647416346670365,0.0,-5.678476726902394,98.79450037519578
81920,118.33747819999999,95.99724817840058,22.340230021166263,0.0,-7.271872495530377,100.98780693161441
83968,118.8147521,95.48561886980924,23.329133221764337,0.0,-7.682013496040621,104.21029563397454
86016,117.781623,96.63483381093558,21.146789049577144,0.0,-5.642642357636749,99.31854177251621
88064,117.5671634,96.27461009254361,21.292553260745088,0.0,-6.686384525887567,103.16469786959314
90112,117.69424069999998,96.89815542573655,20.796085288350838,0.0,-5.292861876319542,100.11172919691782
92160,118.49299169999999,96.25476600638925,22.238225736125095,0.0,-6.381339651014747,103.00187399413258
94208,116.24574049999998,95.87461105779214,20.371129420689215,0.0,-7.042635937512415,102.78681772748027
96256,115.58276030000002,96.44576157991594,19.136998742645666,0.0,-6.055470960189278,98.93183560257351
98304,115.1722915,96.2382710116398,18.934020416813404,0.0,-6.593622571539969,100.48096362428193
100352,115.27891580000001,95.99417732350018,19.284738523652983,0.0,-7.286790995695364,100.56169221625024
102400,114.76489360000001,96.18063055866652,18.584263013699694,0.0,-6.866985039411752,99.47520664653362
104448,116.60007120000003,97.02710022045149,19.5729709680214,0.0,-5.232223251276393,101.9732937527373
106496,117.4989732,96.02877087861948,21.470202239551156,0.0,-7.449928060501034,105.65777063230435
108544,117.28340320000002,96.02561809402893,21.25778524722811,0.0,-8.010640310139829,105.09604475839872
110592,117.505349,96.62657702216885,20.878772013226154,0.0,-6.294967806186261,100.60494932377404
112640,117.04908640000001,96.53758157347029,20.511504788161922,0.0,-6.556770732445015,100.98949892225733
114688,116.54793419999999,96.40836546660105,20.139568574318936,0.0,-6.812712456112313,99.86967811670266
116736,117.73990620000002,96.39356686853276,21.346339418235214,0.0,-6.945959064214246,102.89115162677913
118784,117.42211569999999,96.44180326271979,20.98031240507563,0.0,-6.6269993448224565,100.36647534538955
