timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,H_sum
81920,103.9664348,0,103.9664348,0,0,103.9664348
83968,105.9539051,0,105.9539051,0,0,105.9539051
86016,101.8813969,0,101.8813969,0,0,101.8813969
88064,106.5122051,0,106.5122052,0,0,106.5122052
90112,101.9375858,0,101.9375856,0,0,101.9375856
92160,104.3709976,0,104.3709976,0,0,104.3709976
94208,102.7548277,0,102.7548278,0,0,102.7548278
96256,102.7638649,0,102.7638649,0,0,102.7638649
98304,103.6752685,0,103.6752684,0,0,103.6752684
100352,100.9863878,0,100.9863878,0,0,100.9863878
102400,101.7192487,0,101.7192486,0,0,101.7192486
104448,104.2648553,0,104.2648552,0,0,104.2648552
106496,107.7885966,0,107.7885966,0,0,107.7885966
108544,108.8417403,0,108.8417403,0,0,108.8417403
110592,103.5189195,0,103.5189196,0,0,103.5189196
112640,103.5293655,0,103.5293655,0,0,103.5293655
114688,102.7935423,0,102.7935422,0,0,102.7935422
116736,106.5824379,0,106.5824377,0,0,106.5824377
118784,101.5146001,0,101.5146001,0,0,101.5146001
120832,104.9136745,0,104.9136745,0,0,104.9136745
122880,104.7903066,0,104.7903065,0,0,104.7903065
124928,105.213202,0,105.213202,0,0,105.213202
126976,105.7650879,0,105.7650878,0,0,105.7650878
129024,108.8665493,0,108.8665495,0,0,108.8665495
131072,101.2584024,0,101.2584023,0,0,101.2584023
133120,105.2802166,0,105.2802165,0,0,105.2802165
135168,103.2612244,0,103.2612244,0,0,103.2612244
137216,106.6019075,0,106.6019072,0,0,106.6019072
139264,105.7245208,0,105.7245209,0,0,105.7245209
141312,103.8085513,0,103.8085512,0,0,103.8085512
143360,105.9787914,0,105.9787913,0,0,105.9787913
145408,104.8171121,0,104.8171121,0,0,104.8171121
147456,106.3126863,0,106.3126863,0,0,106.3126863
149504,106.7101709,0,106.7101711,0,0,106.7101711
151552,104.5584143,0,104.5584143,0,0,104.5584143
153600,103.3176343,0,103.3176344,0,0,103.3176344
155648,103.1542154,0,103.1542156,0,0,103.1542156
157696,102.603579,0,102.603579,0,0,102.603579
159744,104.9962165,0,104.9962166,0,0,104.9962166
161792,105.4712059,0,105.4712059,0,0,105.4712059
163840,104.5880505,0,104.5880506,0,0,104.5880506
165888,105.3065,0,105.3065,0,0,105.3065
167936,104.3330581,0,104.3330581,0,0,104.3330581
169984,103.4988633,0,103.4988634,0,0,103.4988634
172032,103.0914306,0,103.0914307,0,0,103.0914307
174080,105.5564818,0,105.5564818,0,0,105.5564818
176128,104.3199722,0,104.3199722,0,0,104.3199722
178176,105.4999544,0,105.4999546,0,0,105.4999546
180224,106.144061,0,106.144061,0,0,106.144061
182272,107.6163967,0,107.6163968,0,0,107.6163968
184320,105.9614764,0,105.9614766,0,0,105.9614766
186368,107.1627983,0,107.1627983,0,0,107.1627983
188416,104.1166168,0,104.116617,0,0,104.116617
190464,104.6034671,0,104.6034671,0,0,104.6034671
192512,106.6177932,0,106.617793,0,0,106.617793
194560,104.1219387,0,104.1219388,0,0,104.1219388
196608,103.2250129,0,103.2250129,0,0,103.2250129
198656,108.6355299,0,108.6355299,0,0,108.6355299
200704,104.1305838,0,104.1305837,0,0,104.1305837
202752,107.3992013,0,107.3992012,0,0,107.3992012
204800,106.2547434,0,106.2547434,0,0,106.2547434
206848,106.4198911,0,106.4198913,0,0,106.4198913
208896,108.0241857,0,108.0241857,0,0,108.0241857
210944,106.0807321,0,106.0807321,0,0,106.0807321
212992,108.280142,0,108.280142,0,0,108.280142
215040,103.4553647,0,103.4553647,0,0,103.4553647
217088,104.988433,0,104.988433,0,0,104.988433
219136,105.9429723,0,105.9429723,0,0,105.9429723
221184,106.1743231,0,106.1743232,0,0,106.1743232
223232,106.453561,0,106.453561,0,0,106.453561
225280,104.5524893,0,104.5524894,0,0,104.5524894
227328,109.4985274,0,109.4985273,0,0,109.4985273
229376,105.6644212,0,105.6644211,0,0,105.6644211
231424,105.4299195,0,105.4299194,0,0,105.4299194
233472,110.5868086,0,110.5868088,0,0,110.5868088
235520,103.6177061,0,103.6177063,0,0,103.6177063
237568,106.8042062,0,106.8042062,0,0,106.8042062
239616,107.2489219,0,107.248922,0,0,107.248922
241664,109.0881499,0,109.0881499,0,0,109.0881499
243712,104.9164476,0,104.9164474,0,0,104.9164474
245760,109.3391542,0,109.3391543,0,0,109.3391543
247808,107.3864603,0,107.3864603,0,0,107.3864603
249856,106.8029422,0,106.8029422,0,0,106.8029422
251904,105.0954714,0,105.0954715,0,0,105.0954715
253952,105.7424599,0,105.7424598,0,0,105.7424598
256000,105.1781334,0,105.1781332,0,0,105.1781332
258048,108.0700381,0,108.0700382,0,0,108.0700382
260096,109.6547996,0,109.6547995,0,0,109.6547995
262144,107.8384087,0,107.8384088,0,0,107.8384088
264192,107.4672269,0,107.4672269,0,0,107.4672269
266240,106.9772289,0,106.9772289,0,0,106.9772289
268288,106.5257748,0,106.5257748,0,0,106.5257748
270336,106.591786,0,106.5917861,0,0,106.5917861
272384,107.1227971,0,107.1227971,0,0,107.1227971
274432,109.6870177,0,109.6870178,0,0,109.6870178
276480,109.9478392,0,109.9478392,0,0,109.9478392
278528,109.8859685,0,109.8859686,0,0,109.8859686
280576,107.9078728,0,107.9078726,0,0,107.9078726
282624,112.8017093,0,112.8017094,0,0,112.8017094
284672,106.7620018,0,106.7620017,0,0,106.7620017
286720,106.0279365,0,106.0279366,0,0,106.0279366
288768,106.5127237,0,106.5127236,0,0,106.5127236
290816,107.4041395,0,107.4041395,0,0,107.4041395
292864,109.4990079,0,109.4990079,0,0,109.4990079
294912,105.5958567,0,105.5958568,0,0,105.5958568
296960,108.2597875,0,108.2597874,0,0,108.2597874
299008,108.91778,0,108.9177799,0,0,108.9177799
301056,109.1255294,0,109.1255293,0,0,109.1255293
303104,106.3236378,0,106.323638,0,0,106.323638
305152,108.5501716,0,108.5501716,0,0,108.5501716
307200,106.9393554,0,106.9393556,0,0,106.9393556
309248,108.3997533,0,108.3997534,0,0,108.3997534
311296,111.6541539,0,111.6541538,0,0,111.6541538
313344,109.2336642,0,109.2336643,0,0,109.2336643
315392,109.8823463,0,109.8823462,0,0,109.8823462
317440,110.2067324,0,110.2067323,0,0,110.2067323
319488,109.0866611,0,109.0866609,0,0,109.0866609
321536,109.8221702,0,109.8221703,0,0,109.8221703
323584,108.3504244,0,108.3504244,0,0,108.3504244
325632,110.8186149,0,110.8186148,0,0,110.8186148
327680,110.3299589,0,110.3299589,0,0,110.3299589
329728,108.2406892,0,108.2406893,0,0,108.2406893
331776,106.7747962,0,106.7747963,0,0,106.7747963
333824,107.942313,0,107.942313,0,0,107.942313
335872,106.8492645,0,106.8492646,0,0,106.8492646
337920,107.2927421,0,107.292742,0,0,107.292742
339968,114.0495254,0,114.0495253,0,0,114.0495253
342016,110.8287629,0,110.8287628,0,0,110.8287628
344064,109.2848659,0,109.2848658,0,0,109.2848658
346112,108.0847064,0,108.0847063,0,0,108.0847063
348160,110.8057575,0,110.8057574,0,0,110.8057574
350208,107.3962737,0,107.3962738,0,0,107.3962738
352256,108.3405685,0,108.3405684,0,0,108.3405684
354304,109.599737,0,109.599737,0,0,109.599737
356352,110.3715233,0,110.3715235,0,0,110.3715235
358400,107.0471345,0,107.0471344,0,0,107.0471344
360448,109.3882342,0,109.3882342,0,0,109.3882342
362496,112.2396951,0,112.2396951,0,0,112.2396951
364544,110.7405592,0,110.7405592,0,0,110.7405592
366592,110.0572284,0,110.0572284,0,0,110.0572284
368640,108.4720917,0,108.4720915,0,0,108.4720915
370688,108.2725542,0,108.2725541,0,0,108.2725541
372736,108.7861533,0,108.7861532,0,0,108.7861532
374784,109.2397402,0,109.2397404,0,0,109.2397404
376832,112.9729981,0,112.9729981,0,0,112.9729981
378880,111.3552513,0,111.3552514,0,0,111.3552514
380928,109.2217114,0,109.2217113,0,0,109.2217113
382976,110.0469784,0,110.0469784,0,0,110.0469784
385024,109.8381551,0,109.8381551,0,0,109.8381551
387072,114.7696631,0,114.7696632,0,0,114.7696632
389120,110.422791,0,110.422791,0,0,110.422791
391168,109.1825373,0,109.1825373,0,0,109.1825373
393216,109.2005641,0,109.200564,0,0,109.200564
395264,110.3463062,0,110.3463062,0,0,110.3463062
397312,110.0057352,0,110.0057351,0,0,110.0057351
399360,109.4843645,0,109.4843643,0,0,109.4843643
401408,109.7571534,0,109.7571533,0,0,109.7571533
403456,110.545403,0,110.5454029,0,0,110.5454029
405504,111.6350587,0,111.6350589,0,0,111.6350589
407552,109.3362201,0,109.3362201,0,0,109.3362201
409600,105.4291707,0,105.4291707,0,0,105.4291707
411648,107.4401743,0,107.4401742,0,0,107.4401742
413696,111.7079346,0,111.7079346,0,0,111.7079346
415744,111.7343188,0,111.7343187,0,0,111.7343187
417792,108.8448017,0,108.8448017,0,0,108.8448017
419840,110.9674421,0,110.9674422,0,0,110.9674422
421888,107.1768597,0,107.1768596,0,0,107.1768596
423936,108.4838366,0,108.4838365,0,0,108.4838365
425984,112.1263342,0,112.1263342,0,0,112.1263342
428032,109.8978909,0,109.897891,0,0,109.897891
430080,111.1418026,0,111.1418025,0,0,111.1418025
432128,107.37796,0,107.3779599,0,0,107.3779599
434176,110.0503415,0,110.0503416,0,0,110.0503416
436224,109.6040221,0,109.6040222,0,0,109.6040222
438272,108.8999476,0,108.8999476,0,0,108.8999476
440320,109.7724621,0,109.772462,0,0,109.772462
442368,111.5291715,0,111.5291714,0,0,111.5291714
444416,111.5122455,0,111.5122455,0,0,111.5122455
446464,112.8461905,0,112.8461906,0,0,112.8461906
448512,110.8901016,0,110.8901015,0,0,110.8901015
450560,109.7547311,0,109.7547311,0,0,109.7547311
452608,108.8460925,0,108.8460925,0,0,108.8460925
454656,110.0116183,0,110.0116185,0,0,110.0116185
456704,111.889026,0,111.8890261,0,0,111.8890261
458752,110.0342754,0,110.0342754,0,0,110.0342754
460800,111.875268,0,111.8752678,0,0,111.8752678
462848,111.3778439,0,111.3778439,0,0,111.3778439
464896,111.0298524,0,111.0298525,0,0,111.0298525
466944,109.9442846,0,109.9442844,0,0,109.9442844
468992,111.3543176,0,111.3543176,0,0,111.3543176
471040,112.1468242,0,112.1468242,0,0,112.1468242
473088,110.0328339,0,110.0328338,0,0,110.0328338
475136,110.3814224,0,110.3814224,0,0,110.3814224
477184,111.5922282,0,111.5922281,0,0,111.5922281
479232,112.0614388,0,112.0614388,0,0,112.0614388
481280,112.0269059,0,112.0269059,0,0,112.0269059
483328,111.18175,0,111.1817501,0,0,111.1817501
485376,110.3255091,0,110.3255091,0,0,110.3255091
487424,109.7588001,0,109.7588,0,0,109.7588
489472,113.3825269,0,113.3825269,0,0,113.3825269
491520,113.486672,0,113.486672,0,0,113.486672
493568,112.4099343,0,112.4099342,0,0,112.4099342
495616,112.8051018,0,112.8051017,0,0,112.8051017
497664,113.1878566,0,113.1878566,0,0,113.1878566
499712,108.1124149,0,108.1124149,0,0,108.1124149
501760,113.832495,0,113.8324951,0,0,113.8324951
503808,111.3639457,0,111.3639458,0,0,111.3639458
505856,113.7973741,0,113.7973741,0,0,113.7973741
507904,112.6297307,0,112.6297308,0,0,112.6297308
509952,112.9042818,0,112.9042818,0,0,112.9042818
512000,109.7402589,0,109.7402588,0,0,109.7402588
514048,114.6008262,0,114.6008264,0,0,114.6008264
516096,109.1675314,0,109.1675315,0,0,109.1675315
518144,111.4411895,0,111.4411895,0,0,111.4411895
520192,114.3023086,0,114.3023085,0,0,114.3023085
522240,112.9802759,0,112.9802761,0,0,112.9802761
524288,112.193033,0,112.1930329,0,0,112.1930329
526336,113.8469649,0,113.8469649,0,0,113.8469649
528384,112.0235809,0,112.023581,0,0,112.023581
530432,114.7211457,0,114.7211457,0,0,114.7211457
532480,112.1075371,0,112.1075371,0,0,112.1075371
534528,110.3429574,0,110.3429573,0,0,110.3429573
536576,110.3224471,0,110.3224471,0,0,110.3224471
538624,112.9813877,0,112.9813877,0,0,112.9813877
540672,111.363705,0,111.363705,0,0,111.363705
542720,111.7900205,0,111.7900206,0,0,111.7900206
544768,112.3069847,0,112.3069848,0,0,112.3069848
546816,110.6086289,0,110.608629,0,0,110.608629
548864,112.1296107,0,112.1296108,0,0,112.1296108
550912,111.0841048,0,111.0841047,0,0,111.0841047
552960,108.2872111,0,108.287211,0,0,108.287211
555008,111.9794221,0,111.979422,0,0,111.979422
557056,113.5163526,0,113.5163525,0,0,113.5163525
559104,109.6782168,0,109.6782168,0,0,109.6782168
561152,112.2315886,0,112.2315886,0,0,112.2315886
563200,113.7508053,0,113.7508053,0,0,113.7508053
565248,110.0070614,0,110.0070615,0,0,110.0070615
567296,114.0349375,0,114.0349376,0,0,114.0349376
569344,110.3247094,0,110.3247094,0,0,110.3247094
571392,113.1219558,0,113.1219558,0,0,113.1219558
573440,113.2224633,0,113.2224633,0,0,113.2224633
575488,112.2890064,0,112.2890066,0,0,112.2890066
577536,114.4532461,0,114.4532461,0,0,114.4532461
579584,110.2487687,0,110.2487687,0,0,110.2487687
581632,111.112021,0,111.112021,0,0,111.112021
583680,112.6495002,0,112.6495002,0,0,112.6495002
585728,113.6302953,0,113.6302953,0,0,113.6302953
587776,113.6084197,0,113.6084197,0,0,113.6084197
589824,114.5685002,0,114.5685001,0,0,114.5685001
591872,113.6967028,0,113.6967028,0,0,113.6967028
593920,116.2633105,0,116.2633105,0,0,116.2633105
595968,114.9416159,0,114.9416159,0,0,114.9416159
598016,108.3220944,0,108.3220945,0,0,108.3220945
600064,113.3900675,0,113.3900675,0,0,113.3900675
602112,110.1650413,0,110.1650413,0,0,110.1650413
604160,114.5990992,0,114.5990993,0,0,114.5990993
606208,113.120825,0,113.1208249,0,0,113.1208249
608256,116.2325502,0,116.2325502,0,0,116.2325502
610304,112.4391194,0,112.4391195,0,0,112.4391195
612352,115.1000915,0,115.1000915,0,0,115.1000915
614400,111.2176401,0,111.21764,0,0,111.21764
616448,116.057011,0,116.057011,0,0,116.057011
618496,112.044924,0,112.044924,0,0,112.044924
620544,115.4310842,0,115.4310841,0,0,115.4310841
622592,111.3828056,0,111.3828056,0,0,111.3828056
624640,112.083514,0,112.0835141,0,0,112.0835141
626688,113.9924194,0,113.9924194,0,0,113.9924194
628736,113.6177573,0,113.6177573,0,0,113.6177573
630784,111.8186708,0,111.8186709,0,0,111.8186709
632832,114.123341,0,114.123341,0,0,114.123341
634880,111.9709625,0,111.9709625,0,0,111.9709625
636928,116.621533,0,116.6215329,0,0,116.6215329
638976,111.3535125,0,111.3535123,0,0,111.3535123
641024,111.8955607,0,111.8955606,0,0,111.8955606
643072,111.1559846,0,111.1559845,0,0,111.1559845
645120,111.999602,0,111.999602,0,0,111.999602
647168,112.3588803,0,112.3588803,0,0,112.3588803
649216,114.1107948,0,114.1107947,0,0,114.1107947
651264,111.3152015,0,111.3152014,0,0,111.3152014
653312,112.97785,0,112.9778499,0,0,112.9778499
655360,112.5786374,0,112.5786374,0,0,112.5786374
657408,115.5918862,0,115.5918861,0,0,115.5918861
659456,115.2584693,0,115.2584692,0,0,115.2584692
661504,113.285629,0,113.285629,0,0,113.285629
663552,115.4764677,0,115.4764677,0,0,115.4764677
665600,117.4310188,0,117.4310188,0,0,117.4310188
667648,114.2385935,0,114.2385935,0,0,114.2385935
669696,114.1102969,0,114.1102968,0,0,114.1102968
671744,113.8718022,0,113.8718021,0,0,113.8718021
673792,114.6359782,0,114.6359782,0,0,114.6359782
675840,116.3277874,0,116.3277875,0,0,116.3277875
677888,109.5675257,0,109.5675258,0,0,109.5675258
679936,112.6778403,0,112.6778403,0,0,112.6778403
681984,114.1363817,0,114.1363816,0,0,114.1363816
684032,111.7121685,0,111.7121685,0,0,111.7121685
