timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,N_sum
296960,85.9616392,42.90702857,0,43.05461077,-1.419233582,0
299008,40.5674116,20.2767045,0,20.29070709,-1.409942782,0
301056,78.6140656,38.91414521,0,39.69992055,-2.900641459,0
303104,108.2523497,53.75493963,0,54.49741017,-2.863475767,0
305152,91.7457579,45.64791603,0,46.09784172,-1.841149009,0
307200,98.5980103,48.90107643,0,49.69693399,-2.47589336,0
309248,107.2079563,53.28101933,0,53.92693699,-2.240067605,0
311296,85.0549839,42.25669658,0,42.7982872,-2.783980671,0
313344,55.9802235,27.88707647,0,28.09314703,-1.562615075,0
315392,86.183559,42.98419101,0,43.19936801,-2.140656435,0
317440,83.921733,41.91652494,0,42.00520804,-1.501037969,0
319488,71.4866719,35.5015756,0,35.98509641,-2.169050932,0
321536,104.8480572,52.1442633,0,52.70379395,-2.238142333,0
323584,151.3360536,75.04331634,0,76.29273725,-2.814049007,0
325632,100.0577966,49.85936921,0,50.19842744,-2.155474316,0
327680,57.2125867,28.41189702,0,28.80068959,-1.880754794,0
329728,97.1463183,48.45467061,0,48.69164766,-2.418417825,0
331776,77.2010288,38.50154999,0,38.69947891,-2.071499552,0
333824,111.6796661,55.49105004,0,56.18861606,-2.811434517,0
335872,90.388336,45.00003868,0,45.38829727,-1.891818848,0
337920,106.3899059,53.09214048,0,53.29776546,-1.967193884,0
339968,76.27362,38.07587859,0,38.19774143,-1.636720204,0
342016,103.8121305,51.60912762,0,52.20300277,-2.579501382,0
344064,66.6348123,33.10996174,0,33.52485052,-1.725886901,0
346112,134.3239734,66.85087425,0,67.47309917,-2.459312087,0
348160,111.1024914,55.30536689,0,55.79712456,-2.530469835,0
350208,110.0305976,54.73256201,0,55.29803571,-2.381005709,0
352256,76.5497856,37.95520562,0,38.59457997,-2.470356558,0
354304,91.729172,45.50377702,0,46.22539506,-1.950012769,0
356352,137.0804652,68.08112353,0,68.99934155,-3.133690829,0
358400,137.516056,68.61581769,0,68.9002382,-2.03859912,0
360448,103.7287705,51.55918343,0,52.16958696,-2.449982316,0
362496,50.4314241,25.40615901,0,25.02526509,-0.77696457,0
364544,97.6576519,48.62895745,0,49.02869437,-2.451826096,0
366592,132.0356218,65.53977346,0,66.49584833,-3.084513756,0
368640,67.7583172,33.88790846,0,33.87040871,-1.298213428,0
370688,106.8993666,53.20205013,0,53.69731648,-2.042243808,0
372736,112.5040856,56.30026277,0,56.20382284,-1.541531125,0
374784,127.201439,63.20410249,0,63.99733628,-2.772487268,0
376832,100.0736289,49.7744302,0,50.29919875,-2.294385166,0
378880,116.9711554,58.27180226,0,58.69935308,-1.769543844,0
380928,99.3505924,49.42600835,0,49.92458393,-2.832974217,0
382976,133.9864337,66.58361855,0,67.40281519,-2.469641373,0
385024,99.9995751,50.10670773,0,49.8928673,-0.84307077,0
387072,89.3180079,44.31825544,0,44.99975237,-2.565468185,0
389120,108.1437982,53.74033694,0,54.40346107,-2.532518884,0
391168,92.3368212,46.06984961,0,46.2669715,-1.546398585,0
393216,123.1921939,61.29397055,0,61.89822344,-2.495739427,0
395264,77.9538191,38.65363533,0,39.30018379,-2.174420697,0
397312,71.855995,35.85877023,0,35.99722486,-1.481565443,0
399360,98.5835948,49.14663056,0,49.43696428,-2.654099434,0
401408,100.955087,50.04845264,0,50.90663449,-3.484844883,0
403456,120.2838203,59.88885107,0,60.39496918,-2.27359774,0
405504,103.6698043,51.57432113,0,52.09548326,-2.03697981,0
407552,127.162651,62.97639079,0,64.18626017,-3.373672027,0
409600,143.2850658,71.18506562,0,72.1,-3.090700906,0
411648,106.4398893,52.96466264,0,53.4752267,-2.091369768,0
413696,127.4409811,63.33756561,0,64.10341551,-2.327890705,0
415744,157.4222205,78.15873319,0,79.2634873,-3.393256624,0
417792,95.3887538,47.31646821,0,48.07228546,-2.161639263,0
419840,96.573269,48.07730257,0,48.49596643,-2.109187974,0
421888,92.8755598,46.57014276,0,46.30541695,-1.41404887,0
423936,116.5740225,57.96978523,0,58.60423723,-2.41196296,0
425984,112.3681263,55.98206702,0,56.38605929,-1.997214356,0
428032,104.5059928,52.21199786,0,52.29399495,-1.560126722,0
430080,97.0806686,48.58716939,0,48.49349929,-1.202413118,0
432128,134.640861,67.1508482,0,67.49001288,-1.899076015,0
434176,92.3619606,46.01698676,0,46.34497384,-1.895134132,0
436224,75.5860559,37.99052019,0,37.59553572,-0.788261249,0
438272,95.119887,47.42551212,0,47.69437501,-1.487854782,0
440320,79.4347543,39.7412548,0,39.69349929,-1.624786656,0
442368,121.8159173,60.62074768,0,61.19516953,-1.800819493,0
444416,118.5238756,59.12610765,0,59.39776786,-1.438379062,0
446464,99.5858928,49.78775281,0,49.79814014,-0.976690357,0
448512,128.3258801,63.71672033,0,64.60915966,-2.797810986,0
450560,84.3769747,42.1770449,0,42.19992967,-1.33738883,0
452608,98.9037764,49.20173687,0,49.70203945,-1.964625832,0
454656,116.8390331,57.91422486,0,58.9248083,-2.639566138,0
456704,131.8079615,65.51540152,0,66.29256001,-2.431907231,0
458752,130.961113,65.26429797,0,65.69681492,-1.633865958,0
460800,152.5521934,75.8565264,0,76.69566705,-2.328172974,0
462848,148.2224741,73.92247398,0,74.3,-2.177276907,0
464896,96.0388332,47.97501806,0,48.06381522,-1.944248815,0
466944,77.6103374,38.90515881,0,38.70517856,-1.402787208,0
468992,100.6465969,50.34849305,0,50.29810403,-1.124662423,0
471040,109.393709,54.39215575,0,55.00155342,-2.523613582,0
473088,109.1370498,54.46643317,0,54.67061673,-1.473292995,0
475136,108.1310449,53.73104476,0,54.4,-2.139556626,0
477184,107.3902821,53.69508045,0,53.69520155,-1.496783769,0
479232,109.3910859,54.29540811,0,55.09567781,-2.407217323,0
481280,122.2690028,60.86900286,0,61.4,-1.996528872,0
483328,73.8711702,37.04947657,0,36.82169361,-1.017277709,0
485376,128.7103707,63.95214691,0,64.75822377,-1.876432869,0
487424,166.4033024,82.50330227,0,83.9,-3.278006109,0
489472,126.7725773,63.14535684,0,63.62722046,-1.693692126,0
491520,113.8070203,56.50776002,0,57.29926036,-2.736493461,0
493568,116.6987807,58.20005951,0,58.49872109,-1.692810697,0
495616,121.3547219,60.45594157,0,60.89878036,-2.106221853,0
497664,127.7006888,63.40054716,0,64.30014152,-3.061409138,0
499712,99.2191648,49.42723685,0,49.79192802,-2.038151064,0
501760,136.9143971,68.01502899,0,68.89936801,-2.656553031,0
503808,127.8179314,63.64888956,0,64.16904172,-1.858901083,0
505856,136.6214757,67.92147584,0,68.7,-2.671722224,0
507904,128.9524172,64.15304914,0,64.79936801,-2.336793066,0
509952,111.1928053,55.48233997,0,55.71046527,-1.783414999,0
512000,120.7630637,60.11559304,0,60.64747072,-2.557430156,0
514048,82.8240016,41.23406491,0,41.58993682,-1.683647182,0
516096,148.6727921,73.76229121,0,74.91050102,-3.282272233,0
518144,117.1778778,58.37924931,0,58.79862837,-2.052166739,0
520192,156.0623478,77.89479027,0,78.16755756,-1.41888595,0
522240,113.0754301,56.37829421,0,56.69713587,-1.619344861,0
524288,160.41884,79.32212044,0,81.09671942,-4.063336467,0
526336,80.6861279,40.29585586,0,40.39027209,-1.432307351,0
528384,148.348387,73.64838685,0,74.7,-2.669205716,0
530432,138.4070405,68.70798095,0,69.69905943,-2.627411721,0
532480,103.3851718,51.48740392,0,51.89776786,-1.92110186,0
534528,127.0492986,63.18562406,0,63.86367458,-2.210287952,0
536576,150.1390911,74.43972303,0,75.69936801,-3.085285765,0
538624,158.3219892,78.62198923,0,79.7,-2.762151418,0
540672,134.7533503,67.05472195,0,67.69862837,-2.109463628,0
542720,113.4289158,56.53764902,0,56.89126663,-1.543901892,0
544768,108.6363298,54.03778791,0,54.59854194,-2.655706983,0
546816,137.811316,68.52106823,0,69.29024776,-2.217906075,0
548864,143.9717301,71.57297947,0,72.39875058,-2.302009572,0
550912,129.3989745,64.29897453,0,65.1,-2.405264402,0
552960,104.7555404,52.12202392,0,52.63351664,-1.769202872,0
555008,118.3606873,58.7689319,0,59.59175537,-1.876553454,0
557056,171.9110789,85.31652784,0,86.59455119,-2.595385843,0
559104,123.754856,61.55929676,0,62.19555922,-1.570185803,0
561152,142.4274064,70.53007296,0,71.89733352,-2.876127898,0
563200,69.0840966,34.58657573,0,34.49752074,-1.030942861,0
565248,119.1529711,59.13154307,0,60.02142799,-2.428282709,0
567296,140.7198296,69.54704792,0,71.17278175,-3.194125003,0
569344,122.8837864,61.38146559,0,61.50232088,-1.253195248,0
571392,123.5821691,61.3832859,0,62.19888338,-2.801485495,0
573440,78.7099788,39.50138253,0,39.20859628,-0.972008352,0
575488,112.3364408,56.03745391,0,56.29898686,-1.360829173,0
577536,156.3897454,77.59037738,0,78.79936801,-2.862892169,0
579584,131.8110403,65.6110403,0,66.2,-2.144677447,0
581632,123.1490347,61.04237082,0,62.10666389,-2.800738532,0
583680,115.5493902,57.4516222,0,58.09776786,-2.078441262,0
585728,138.5051897,68.60656137,0,69.89862837,-2.713571403,0
587776,135.083582,66.98797287,0,68.09560906,-2.579295511,0
589824,168.3886126,83.19511332,0,85.19349927,-3.417583087,0
591872,120.131117,59.44831535,0,60.68280154,-2.90906037,0
593920,91.0498959,45.36582645,0,45.68406936,-1.180070301,0
595968,106.93815,53.23814993,0,53.7,-2.123763126,0
598016,149.5850533,74.18793961,0,75.39711361,-2.540121385,0
600064,107.5105346,53.31395688,0,54.19657767,-2.346812096,0
602112,141.5371539,70.34476571,0,71.19238824,-2.543402185,0
604160,98.4523832,49.05587213,0,49.39651094,-1.366439768,0
606208,158.1781873,78.67274077,0,79.50544643,-1.991537287,0
608256,95.9204412,47.84978009,0,48.07066119,-1.274952118,0
610304,137.3288733,68.04126247,0,69.28761087,-2.461257757,0
612352,160.7402298,79.54099653,0,81.19923333,-3.214313727,0
614400,97.7203083,48.52067802,0,49.19963039,-2.063562058,0
616448,166.8053145,82.83186083,0,83.97345375,-2.900644861,0
618496,84.1630862,41.96011176,0,42.20297462,-1.581557507,0
620544,138.8026938,69.01850745,0,69.78418625,-2.120213913,0
622592,110.373538,54.77353795,0,55.6,-2.191571613,0
624640,103.2403106,51.34285434,0,51.89745626,-1.938224906,0
626688,133.5202387,66.31589164,0,67.20434692,-2.541471532,0
628736,168.7357156,83.73741202,0,84.99830357,-2.428908454,0
630784,121.47994,60.58143745,0,60.89850254,-1.269512843,0
632832,110.9785004,55.18500102,0,55.79349929,-1.928609289,0
634880,140.0495252,69.44952517,0,70.6,-2.660561917,0
636928,125.905884,62.40706461,0,63.49881948,-2.397341219,0
638976,65.3728063,32.39041988,0,32.98238629,-2.219069518,0
641024,153.4798117,76.18204395,0,77.29776786,-2.419887166,0
643072,161.2083865,80.10838644,0,81.1,-2.076147615,0
645120,143.621711,71.5234369,0,72.09827409,-1.750594847,0
647168,103.9710558,51.87250954,0,52.09854628,-1.023450351,0
649216,155.8547137,77.47177065,0,78.38294318,-2.183679603,0
651264,145.4317595,72.13175951,0,73.3,-3.239819999,0
653312,174.0147543,86.51475409,0,87.5,-2.296784606,0
655360,67.6538641,33.85381595,0,33.80004822,-1.419579624,0
657408,143.0467065,71.30662048,0,71.74008601,-1.558569357,0
659456,158.8881527,79.08233208,0,79.80582071,-2.2698304,0
661504,154.1500674,76.55038139,0,77.59968597,-2.415670598,0
663552,126.284646,62.98589538,0,63.29875071,-1.225795855,0
665600,89.031117,44.23111684,0,44.8,-2.038280821,0
667648,131.9625738,65.66346563,0,66.29910812,-2.036623732,0
669696,158.3296321,78.52970225,0,79.79992967,-2.567474122,0
671744,167.0563463,82.95634618,0,84.1,-2.291346414,0
673792,151.7822111,75.48338863,0,76.2988224,-2.210477342,0
675840,124.0071647,61.80838442,0,62.19878036,-1.381593038,0
677888,170.0257266,84.32572659,0,85.7,-2.612619941,0
679936,146.3817347,72.66940724,0,73.71232741,-2.655076242,0
681984,122.4931251,60.67312098,0,61.820004,-2.566773457,0
684032,161.0822412,79.98224138,0,81.1,-2.21400767,0
686080,144.75945,71.85099949,0,72.90845056,-2.444755726,0
688128,162.152496,80.55491634,0,81.5975796,-2.162713481,0
690176,167.7870758,83.28707574,0,84.5,-2.505867217,0
692224,116.0770406,57.97767265,0,58.09936801,-1.298255682,0
694272,150.9815219,75.08399159,0,75.89753026,-2.040101941,0
696320,137.3465144,68.24824022,0,69.09827409,-1.974912587,0
698368,143.9127485,71.41660904,0,72.49613951,-1.997043869,0
700416,133.8972534,66.40716836,0,67.49008496,-2.236712226,0
702464,117.9562402,58.66839042,0,59.2878497,-1.400497081,0
704512,157.576911,78.37691096,0,79.2,-1.87365494,0
706560,141.2697572,70.37172162,0,70.89803571,-1.639668388,0
708608,115.8798451,57.7229851,0,58.15685983,-1.629747849,0
710656,174.5441017,86.3441018,0,88.2,-3.365293453,0
712704,163.0842919,81.09079266,0,81.99349929,-2.09714396,0
714752,157.6789869,78.37915615,0,79.29983074,-1.715995259,0
716800,160.3939287,79.69392866,0,80.7,-2.227013898,0
718848,163.7990387,81.10199006,0,82.69704863,-3.084042785,0
720896,157.6063414,78.30698832,0,79.29935308,-2.182213117,0
722944,150.4253982,74.53132235,0,75.89407591,-2.923414027,0
724992,127.7928921,63.49299684,0,64.29989537,-2.122235616,0
727040,133.0834077,66.38340765,0,66.7,-1.640818053,0
729088,135.1965359,67.43270798,0,67.76382797,-1.243862785,0
731136,168.2290016,83.63103504,0,84.59796658,-2.118303079,0
733184,106.7566056,53.14815086,0,53.60845489,-1.298735074,0
735232,128.1603515,63.48166917,0,64.6786823,-2.220266018,0
737280,157.5749114,78.43953939,0,79.13537199,-2.359662753,0
739328,112.4366305,56.24407042,0,56.19256001,-1.126788398,0
741376,109.8551554,54.76165601,0,55.09349929,-1.588751872,0
743424,180.8921624,89.79216228,0,91.1,-2.587117381,0
745472,159.5612825,79.26128252,0,80.3,-2.366472605,0
747520,123.860623,61.374211,0,62.48641202,-2.633079656,0
749568,155.754478,77.65566816,0,78.09880981,-1.54994862,0
751616,143.1764279,71.07775921,0,72.09866878,-2.320718212,0
753664,136.3222541,67.6264552,0,68.6957989,-2.392595556,0
755712,131.8165768,65.61657674,0,66.2,-2.013856287,0
757760,176.9955935,87.89559339,0,89.1,-2.407561972,0
759808,131.318543,65.41854297,0,65.9,-1.659988951,0
761856,149.5823104,74.57761636,0,75.00469404,-1.916321508,0
763904,163.6729018,81.0778423,0,82.59505962,-2.935275132,0
765952,160.3965754,79.69833071,0,80.69824464,-2.326679358,0
768000,121.1322018,60.33514734,0,60.79705445,-1.518317176,0
770048,156.5302903,77.9326114,0,78.59767889,-1.445059691,0
772096,135.0232318,67.02323183,0,68,-2.861315057,0
774144,158.4319656,78.83196557,0,79.6,-2.228759318,0
776192,133.0419603,66.33772936,0,66.704231,-1.345252531,0
778240,142.8672268,70.96945911,0,71.89776786,-2.982606405,0
780288,140.3434931,69.64349306,0,70.7,-2.912575079,0
