timesteps,reward,rewMD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
23552,35.3283019,15.427442525049281,4.206126574845386,15.694732802,-1.5384880866762083,19.858731934066007
24576,28.1470621,12.375263263188447,3.3942376934192957,12.377561184,-1.2839340021392214,16.322065326567248
25600,26.1051559,11.684771131080975,2.9628353887228074,11.457549182,-0.5669767274506529,14.017418970942819
26624,25.628890000000002,11.322466981939286,3.151325636059832,11.155097284,-0.8321460608246165,15.40963216435721
27648,27.649467000000005,12.416008541255138,3.036075008940371,12.1973834934,-0.8060128663273003,15.190561332456022
28672,43.451747600000004,18.93877576798254,5.088926350828854,19.4240453667,-1.364025409149853,22.729842674310483
29696,58.362582599999996,25.465021392928314,6.806764568192465,26.090796740000002,-1.7610568947776162,31.86120706229524
30720,41.6767532,18.289164481698997,5.051642949951503,18.3359457547,-0.9999149130707623,23.05661318065578
31744,36.0541152,15.691091190263572,4.3701953093810495,15.992828705000003,-0.8079461007322053,20.07732517393717
32768,41.1331632,17.90135177671193,5.020373139148045,18.211438302,-1.2594236046043048,23.154226724411295
33792,42.1536649,18.605731994805083,4.838386286227449,18.709546712999998,-1.0947838128047092,21.957640878098914
34816,30.659355600000005,13.670996300090184,3.565228090859544,13.423131204499999,-0.6023708898467766,16.977216592374337
35840,65.96204870000001,29.17550612104835,7.1548051757643565,29.631737409000003,-1.7487730716476655,35.9811773367926
36864,49.768928100000004,21.969075665933726,5.644323324317562,22.155529164,-1.4007422820312492,26.894366199762516
37888,39.7678924,17.346356782721248,4.948938611492021,17.4725970244,-1.562122831094309,22.120400818819622
38912,35.4860379,15.08138997071183,4.730233602377528,15.674414195999997,-2.661624472987912,21.37677410400545
39936,50.5132938,22.757629992670047,4.902227579515197,22.853436364,-1.1452574994583071,24.53412291220726
40960,43.0634725,19.319764840337925,4.375921274737033,19.367786301000002,-1.0204463224838407,22.20240282409734
41984,44.77485310000001,19.97404097271555,4.641587522427246,20.159224526,-1.324411414794088,23.35268910397202
43008,17.281159600000002,7.688099835649976,2.113677629744072,7.479382094,-0.42866408842108017,10.037420232370902
44032,36.6078594,16.30445446283439,3.9684416552951447,16.334963265,-1.3802865640422721,19.365429435350517
45056,52.7403125,23.23379067404999,5.876617479407637,23.629904307,-1.788944488944739,27.968387246017777
46080,27.4443608,11.77354484983548,3.673725655256317,11.997090325,-0.9490523118069734,15.461087473154791
