timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,H_sum
83968,29.1575442,12.60189614,3.857897682,12.69775038,-1.277723833,17.5953605
86016,30.9300286,13.58819922,3.857739338,13.48408988,-0.916858145,17.95128368
88064,37.8712489,16.67527006,4.603178044,16.59280092,-1.001594351,19.87470759
90112,22.815958,9.839956492,3.216642325,9.759359229,-0.993254192,13.80974588
92160,27.9047863,12.39940185,3.428088264,12.07729612,-0.683250673,14.9991779
94208,31.4238398,14.19338068,3.527002597,13.70345636,-0.527270589,17.60145086
96256,51.003797,22.69382641,5.714327025,22.59564356,-1.545706118,27.17168069
98304,40.364694,17.88783571,4.405692873,18.07116529,-1.563977167,21.28931071
100352,29.7710854,13.49862142,3.074523982,13.1979401,-1.167677981,15.70321977
102400,30.6139186,13.82626981,3.221725015,13.56592383,-0.665646821,16.73405446
104448,41.8161513,18.70417627,4.394723807,18.71725129,-1.602291575,23.21623391
106496,27.5423246,11.9467466,3.554997246,12.04058076,-0.85759923,16.75534131
108544,29.2123272,12.57711743,4.136477366,12.4987324,-1.28960973,18.95600026
110592,24.3246636,10.57574529,3.191111653,10.55780675,-1.181601634,15.33049296
112640,31.9005967,14.00671194,4.114500013,13.77938466,-0.988343915,17.89688649
114688,54.0653041,23.79769956,6.284137664,23.98346683,-1.743756684,29.71575393
116736,31.1148788,13.35184906,4.074825076,13.6882046,-1.380451246,18.02976438
118784,44.6542534,19.81580067,4.886248565,19.95220418,-1.344515333,24.43485674
120832,42.5399795,18.71965918,5.017938814,18.80238143,-1.88476192,23.90194277
122880,50.4388682,21.92225445,6.12732057,22.38929327,-2.12478733,27.61929542
124928,38.0727644,17.18843117,3.965690027,16.91864321,-0.541553464,19.90290298
126976,71.1215199,31.58747745,7.478589266,32.05545311,-2.340429728,38.09164615
129024,44.6017052,19.90113675,4.90711405,19.79345447,-1.084378143,23.33986988
131072,34.1970816,15.3170069,3.894241551,14.98583312,-0.752803571,18.25955812
133120,49.8691837,21.99832318,5.752189049,22.11867156,-1.640518328,25.64858737
135168,55.1842407,24.46658095,5.959304335,24.75835553,-1.887845072,28.17950218
137216,78.8791761,34.54943089,8.621743875,35.70800128,-3.81796326,39.99955055
139264,41.6233626,18.65657978,4.507522004,18.45926094,-1.434776497,21.97915444
141312,25.0710969,11.36831794,2.797851277,10.90492767,-0.645956602,13.93385205
143360,48.9099487,21.2188371,6.289347802,21.40176378,-2.090362673,29.56439195
145408,62.2455683,27.51312935,6.771201653,27.96123728,-2.272589596,32.90554519
147456,23.7925976,10.5546025,2.81945606,10.41853921,-1.294462862,14.57836475
149504,41.7545273,18.4827836,4.77649327,18.49525043,-1.4939759,22.81356362
151552,42.9637471,19.28745358,4.332757398,19.34353617,-0.985152765,20.67727789
153600,75.688688,33.5111534,7.860927159,34.31660746,-3.13058136,38.28700175
155648,44.4812918,20.12855164,4.597450679,19.75528957,-0.692598262,21.20801108
157696,65.7202179,29.07865898,7.378601849,29.26295703,-1.722494484,32.56830468
159744,59.6137855,26.35732266,6.752128646,26.50433429,-2.479561303,28.96708731
161792,43.6712912,19.05281175,5.636136727,18.98234271,-1.14527704,24.33062648
